13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:45:27 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui.html] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs/swagger-config] 
13:46:32 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs/swagger-config] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/v3/api-docs] 
13:46:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
